gender,ethnicity,birth,stark,star1,star2,star3,readk,read1,read2,read3,mathk,math1,math2,math3,lunchk,lunch1,lunch2,lunch3,schoolk,school1,school2,school3,degreek,degree1,degree2,degree3,ladderk,ladder1,ladder2,ladder3,experiencek,experience1,experience2,experience3,tethnicityk,tethnicity1,tethnicity2,tethnicity3,systemk,system1,system2,system3,schoolidk,schoolid1,schoolid2,schoolid3
female,cauc,1980 Q1,regular+aide,NA,NA,NA,424,NA,NA,NA,478,NA,NA,NA,non-free,NA,NA,NA,rural,NA,NA,NA,master,NA,NA,NA,level1,NA,NA,NA,20,NA,NA,NA,cauc,NA,NA,NA,3,NA,NA,NA,3,NA,NA,NA
male,cauc,1980 Q1,NA,NA,NA,regular,NA,NA,NA,626,NA,NA,NA,634,NA,NA,NA,NA,NA,NA,NA,rural,NA,NA,NA,master,NA,NA,NA,level1,NA,NA,NA,6,NA,NA,NA,cauc,NA,NA,NA,31,NA,NA,NA,64
male,cauc,1979 Q2,NA,regular+aide,regular+aide,small,NA,NA,NA,620,NA,515,NA,622,NA,free,NA,free,NA,rural,rural,rural,NA,bachelor,master,bachelor,NA,level3,level1,level1,NA,17,26,18,NA,cauc,cauc,cauc,NA,35,35,35,NA,70,70,69
male,cauc,1979 Q4,NA,regular+aide,regular+aide,NA,NA,490,544,NA,NA,477,520,NA,NA,free,NA,NA,NA,urban,urban,NA,NA,bachelor,master,NA,NA,level1,notladder,NA,NA,7,30,NA,NA,cauc,cauc,NA,NA,20,20,NA,NA,48,48,NA
female,cauc,1980 Q2,regular+aide,NA,NA,NA,411,NA,NA,NA,489,NA,NA,NA,non-free,NA,NA,NA,suburban,NA,NA,NA,master+,NA,NA,NA,level1,NA,NA,NA,12,NA,NA,NA,cauc,NA,NA,NA,22,NA,NA,NA,51,NA,NA,NA
female,afam,1979 Q1,NA,small,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,free,NA,NA,NA,suburban,NA,NA,NA,bachelor,NA,NA,NA,level1,NA,NA,NA,4,NA,NA,NA,cauc,NA,NA,NA,22,NA,NA,NA,54,NA,NA
female,afam,1979 Q4,regular+aide,regular,regular,regular,433,530,566,631,500,549,568,594,free,free,free,free,suburban,suburban,suburban,suburban,bachelor,bachelor,bachelor,bachelor,apprentice,level1,notladder,level1,1,4,4,7,afam,cauc,afam,afam,11,11,11,11,20,20,20,20
male,cauc,1979 Q4,regular+aide,regular,regular,regular,NA,540,555,588,NA,592,599,594,free,free,free,NA,rural,rural,rural,rural,bachelor,master,master,bachelor,level1,level1,level1,probation,6,8,19,0,cauc,cauc,cauc,cauc,10,10,10,10,13,13,13,13
female,afam,1980 Q1,regular+aide,NA,NA,NA,416,NA,NA,NA,444,NA,NA,NA,free,NA,NA,NA,inner-city,NA,NA,NA,bachelor,NA,NA,NA,level1,NA,NA,NA,7,NA,NA,NA,cauc,NA,NA,NA,11,NA,NA,NA,22,NA,NA,NA
female,cauc,1979 Q1,NA,NA,NA,regular,NA,NA,NA,573,NA,NA,NA,612,NA,NA,NA,free,NA,NA,NA,rural,NA,NA,NA,specialist,NA,NA,NA,level1,NA,NA,NA,13,NA,NA,NA,cauc,NA,NA,NA,41,NA,NA,NA,78
male,cauc,1979 Q4,small,small,small,small,437,579,599,670,454,535,570,639,non-free,non-free,non-free,non-free,rural,rural,rural,rural,bachelor,bachelor,bachelor,bachelor,level1,level1,apprentice,notladder,10,4,1,24,cauc,cauc,cauc,cauc,32,32,32,32,66,66,66,66
male,cauc,1980 Q2,NA,NA,NA,small,NA,NA,NA,597,NA,NA,NA,631,NA,NA,NA,free,NA,NA,NA,rural,NA,NA,NA,master,NA,NA,NA,level1,NA,NA,NA,15,NA,NA,NA,afam,NA,NA,NA,21,NA,NA,NA,50
male,cauc,1980 Q3,regular+aide,NA,NA,NA,NA,NA,NA,NA,463,NA,NA,NA,non-free,NA,NA,NA,suburban,NA,NA,NA,bachelor,NA,NA,NA,apprentice,NA,NA,NA,3,NA,NA,NA,cauc,NA,NA,NA,18,NA,NA,NA,42,NA,NA,NA
male,afam,1980 Q3,regular,regular,NA,NA,NA,533,NA,NA,NA,507,NA,NA,free,non-free,NA,NA,rural,rural,NA,NA,bachelor,bachelor,NA,NA,NA,apprentice,NA,NA,5,2,NA,NA,cauc,cauc,NA,NA,1,1,NA,NA,1,1,NA,NA
male,cauc,1978 Q1,NA,regular+aide,regular,regular,NA,501,NA,NA,NA,557,NA,NA,NA,free,free,free,NA,rural,rural,rural,NA,bachelor,bachelor,bachelor,NA,level1,level1,level1,NA,16,25,4,NA,cauc,cauc,cauc,NA,8,8,8,NA,11,11,11
female,cauc,1980 Q2,small,small,small,small,450,629,627,675,559,562,607,651,non-free,non-free,non-free,non-free,urban,urban,urban,urban,master,bachelor,bachelor,master,level1,level1,level1,level1,7,27,12,19,cauc,cauc,cauc,cauc,6,6,6,6,9,9,9,9
female,afam,1980 Q2,small,small,small,small,443,544,627,650,536,592,596,655,non-free,non-free,non-free,non-free,suburban,suburban,suburban,suburban,bachelor,master,NA,master,level2,level3,NA,level1,13,23,NA,24,cauc,afam,NA,afam,11,11,11,11,24,24,24,24
male,cauc,1980 Q1,regular,NA,NA,NA,410,NA,NA,NA,473,NA,NA,NA,free,NA,NA,NA,rural,NA,NA,NA,bachelor,NA,NA,NA,level1,NA,NA,NA,13,NA,NA,NA,cauc,NA,NA,NA,38,NA,NA,NA,74,NA,NA,NA
female,afam,1980 Q1,NA,NA,regular,regular,NA,NA,559,NA,NA,NA,533,NA,NA,NA,free,NA,NA,NA,suburban,suburban,NA,NA,bachelor,master,NA,NA,level1,notladder,NA,NA,3,14,NA,NA,afam,afam,NA,NA,18,18,NA,NA,44,44
male,cauc,1980 Q1,regular,NA,regular+aide,regular+aide,410,NA,554,583,459,NA,522,624,non-free,NA,non-free,non-free,rural,NA,rural,rural,bachelor,NA,master,master,level1,NA,level2,level1,13,NA,11,4,NA,NA,cauc,cauc,23,NA,23,23,55,NA,55,55
male,afam,1979 Q4,regular+aide,regular+aide,NA,NA,419,412,NA,NA,423,430,NA,NA,free,free,NA,NA,inner-city,inner-city,NA,NA,master,master,NA,NA,level1,level1,NA,NA,10,6,NA,NA,afam,afam,NA,NA,11,11,NA,NA,28,28,NA,NA
female,cauc,1978 Q4,regular,NA,NA,NA,403,NA,NA,NA,429,NA,NA,NA,free,NA,NA,NA,urban,NA,NA,NA,master+,NA,NA,NA,level1,NA,NA,NA,13,NA,NA,NA,cauc,NA,NA,NA,27,NA,NA,NA,60,NA,NA,NA
male,afam,1979 Q4,small,small,small,small,419,490,582,602,454,520,554,622,free,free,free,non-free,rural,rural,rural,rural,bachelor,master,master,master,apprentice,level1,level1,level1,1,10,18,11,cauc,cauc,afam,cauc,24,24,24,24,57,57,57,57
male,cauc,1980 Q3,regular+aide,NA,NA,NA,390,NA,NA,NA,434,NA,NA,NA,free,NA,NA,NA,rural,NA,NA,NA,master,NA,NA,NA,level1,NA,NA,NA,13,NA,NA,NA,cauc,NA,NA,NA,42,NA,NA,NA,80,NA,NA,NA
male,cauc,1980 Q1,regular,small,NA,NA,463,629,NA,NA,536,676,NA,NA,non-free,non-free,NA,NA,suburban,suburban,NA,NA,master,bachelor,NA,NA,level1,apprentice,NA,NA,12,13,NA,NA,cauc,cauc,NA,NA,22,22,NA,NA,52,52,NA,NA
female,cauc,1980 Q3,regular+aide,regular+aide,regular+aide,regular+aide,451,590,631,650,473,553,632,659,free,free,free,free,urban,urban,urban,urban,bachelor,bachelor,bachelor,master,level1,level1,notladder,level1,11,10,17,38,cauc,cauc,cauc,cauc,6,6,6,6,9,9,9,9
male,afam,1980 Q2,NA,NA,NA,regular,NA,NA,NA,575,NA,NA,NA,541,NA,NA,NA,non-free,NA,NA,NA,suburban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,23
female,cauc,1980 Q2,NA,regular+aide,regular+aide,regular+aide,NA,514,549,626,NA,488,561,620,NA,non-free,non-free,free,NA,rural,rural,rural,NA,master,bachelor,bachelor,NA,level1,level1,level1,NA,8,34,10,NA,cauc,cauc,cauc,NA,29,29,29,NA,62,62,62
male,cauc,1980 Q2,small,NA,NA,NA,461,NA,NA,NA,500,NA,NA,NA,free,NA,NA,NA,urban,NA,NA,NA,bachelor,NA,NA,NA,level1,NA,NA,NA,21,NA,NA,NA,cauc,NA,NA,NA,20,NA,NA,NA,48,NA,NA,NA
male,NA,1980 Q4,NA,NA,regular+aide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,free,NA,NA,NA,inner-city,NA,NA,NA,bachelor,NA,NA,NA,level1,NA,NA,NA,4,NA,NA,NA,cauc,NA,NA,NA,11,NA,NA,NA,28,NA
male,afam,1979 Q1,NA,regular,regular,small,NA,453,559,NA,NA,472,545,NA,NA,free,free,free,NA,urban,urban,urban,NA,bachelor,master,master,NA,level1,level1,level1,NA,5,8,9,NA,cauc,cauc,cauc,NA,2,2,2,NA,2,2,2
male,afam,1980 Q3,small,small,small,small,467,505,577,614,520,535,620,636,non-free,non-free,free,free,inner-city,inner-city,inner-city,inner-city,bachelor,bachelor,master,master,level1,probation,level1,level1,3,2,8,14,afam,afam,afam,afam,11,11,11,11,28,28,28,28
male,cauc,1979 Q4,small,small,small,small,497,NA,NA,NA,506,538,NA,NA,non-free,non-free,free,free,urban,rural,rural,rural,master+,master,master,bachelor,level1,level1,level3,apprentice,12,12,14,1,cauc,cauc,cauc,cauc,7,35,35,35,10,70,70,70
male,afam,1980 Q3,regular,regular+aide,regular+aide,regular+aide,430,507,560,NA,449,518,557,NA,non-free,free,free,free,suburban,suburban,suburban,suburban,bachelor,master,master,bachelor,pending,level1,level1,level1,3,6,9,8,cauc,cauc,cauc,cauc,25,25,25,25,58,58,58,58
male,afam,1980 Q2,regular,regular+aide,regular+aide,regular+aide,425,495,586,633,478,468,535,612,free,free,free,free,inner-city,suburban,suburban,suburban,master,bachelor,master,master,level1,level1,level1,level3,7,19,18,19,cauc,cauc,afam,cauc,11,11,11,11,28,21,21,21
female,cauc,1979 Q2,NA,NA,NA,small,NA,NA,NA,560,NA,NA,NA,571,NA,NA,NA,non-free,NA,NA,NA,suburban,NA,NA,NA,master,NA,NA,NA,level3,NA,NA,NA,17,NA,NA,NA,cauc,NA,NA,NA,22,NA,NA,NA,51
female,cauc,1980 Q2,regular+aide,NA,NA,NA,443,NA,NA,NA,494,NA,NA,NA,free,NA,NA,NA,rural,NA,NA,NA,bachelor,NA,NA,NA,level1,NA,NA,NA,12,NA,NA,NA,cauc,NA,NA,NA,9,NA,NA,NA,12,NA,NA,NA
male,cauc,1979 Q3,regular,regular+aide,regular,regular,NA,462,602,540,478,484,584,565,free,free,free,free,rural,rural,rural,rural,master,master,bachelor,bachelor,level1,level1,level3,level1,13,18,14,3,cauc,cauc,cauc,cauc,14,14,14,14,38,38,38,38
female,cauc,1980 Q3,small,small,small,small,472,629,614,622,506,601,648,639,free,free,NA,free,urban,urban,urban,urban,bachelor,master,bachelor,master,level1,level3,level1,level2,21,16,17,11,cauc,cauc,cauc,cauc,20,20,20,20,48,48,48,48
male,cauc,1979 Q4,regular+aide,NA,NA,NA,424,NA,NA,NA,473,NA,NA,NA,non-free,NA,NA,NA,suburban,NA,NA,NA,bachelor,NA,NA,NA,level1,NA,NA,NA,5,NA,NA,NA,afam,NA,NA,NA,22,NA,NA,NA,51,NA,NA,NA
female,cauc,1980 Q2,regular,regular+aide,regular,regular,439,553,NA,670,536,567,NA,663,non-free,non-free,non-free,non-free,rural,rural,rural,rural,master,bachelor,master,bachelor,level1,level1,level1,level1,12,13,10,15,cauc,cauc,cauc,cauc,6,6,6,6,8,8,8,8
female,cauc,1979 Q4,regular,NA,NA,NA,410,NA,NA,NA,439,NA,NA,NA,free,NA,NA,NA,suburban,NA,NA,NA,bachelor,NA,NA,NA,level1,NA,NA,NA,8,NA,NA,NA,cauc,NA,NA,NA,4,NA,NA,NA,4,NA,NA,NA
female,afam,1980 Q3,regular+aide,regular+aide,small,NA,NA,453,566,NA,NA,484,579,NA,free,free,free,NA,inner-city,inner-city,inner-city,NA,bachelor,bachelor,bachelor,NA,level1,apprentice,level1,NA,16,5,14,NA,afam,cauc,afam,NA,11,11,11,NA,22,28,22,NA
male,afam,1980 Q2,small,small,small,small,434,475,582,590,449,497,596,606,non-free,non-free,non-free,non-free,urban,urban,urban,urban,bachelor,bachelor,bachelor,bachelor,level1,level1,level1,level1,11,12,6,14,cauc,cauc,cauc,cauc,27,27,27,27,60,60,60,60
female,cauc,1980 Q2,regular,regular+aide,regular+aide,regular+aide,580,604,659,675,626,578,699,678,non-free,non-free,non-free,non-free,suburban,suburban,suburban,suburban,master,bachelor,master,master,level3,probation,notladder,level1,15,3,15,21,cauc,cauc,cauc,cauc,17,17,17,17,41,41,41,41
female,cauc,1980 Q1,NA,NA,regular,regular,NA,NA,550,583,NA,NA,570,586,NA,NA,non-free,non-free,NA,NA,inner-city,inner-city,NA,NA,master,master,NA,NA,level1,level1,NA,NA,13,19,NA,NA,cauc,afam,NA,NA,22,22,NA,NA,53,53
female,cauc,1980 Q2,regular,regular,regular,regular,407,468,520,600,449,518,531,579,non-free,non-free,non-free,non-free,rural,rural,rural,rural,bachelor,master,bachelor,bachelor,apprentice,level1,level1,probation,2,11,19,3,cauc,cauc,cauc,cauc,24,24,24,24,57,57,57,57
male,cauc,1980 Q2,small,small,small,small,467,590,631,620,520,545,626,651,free,free,free,free,rural,rural,rural,rural,master,bachelor,bachelor,bachelor,level1,level1,level2,apprentice,12,8,33,2,cauc,cauc,cauc,cauc,42,42,42,42,80,80,80,80
male,cauc,1979 Q3,NA,NA,small,small,NA,NA,637,665,NA,NA,648,645,NA,NA,non-free,free,NA,NA,urban,urban,NA,NA,bachelor,bachelor,NA,NA,level1,level1,NA,NA,6,14,NA,NA,cauc,cauc,NA,NA,27,27,NA,NA,60,60
female,cauc,1980 Q1,NA,NA,regular+aide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,free,NA,NA,NA,rural,NA,NA,NA,master,NA,NA,NA,level1,NA,NA,NA,29,NA,NA,NA,cauc,NA,NA,NA,24,NA,NA,NA,56,NA
male,cauc,1980 Q1,regular,regular,NA,NA,NA,579,NA,NA,489,572,NA,NA,non-free,non-free,NA,NA,suburban,suburban,NA,NA,bachelor,bachelor,NA,NA,level1,level1,NA,NA,11,7,NA,NA,cauc,cauc,NA,NA,22,22,NA,NA,51,51,NA,NA
male,afam,1980 Q1,regular,regular,regular,regular,480,530,584,618,494,510,550,570,free,free,free,free,rural,rural,rural,rural,master,bachelor,bachelor,bachelor,level3,level1,level1,level1,16,5,31,8,cauc,cauc,cauc,cauc,34,34,34,34,68,68,68,68
female,cauc,1980 Q2,NA,NA,small,small,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-free,non-free,NA,NA,rural,rural,NA,NA,bachelor,bachelor,NA,NA,level1,notladder,NA,NA,7,24,NA,NA,cauc,cauc,NA,NA,32,32,NA,NA,66,66
male,cauc,1980 Q1,small,small,small,small,439,468,602,636,468,477,587,601,non-free,non-free,non-free,non-free,rural,rural,rural,rural,bachelor,master,master,bachelor,apprentice,apprentice,level1,level1,2,2,15,14,cauc,cauc,cauc,cauc,12,12,12,12,34,34,34,34
female,cauc,1980 Q3,regular+aide,small,small,small,433,509,573,587,459,518,574,616,free,non-free,free,free,rural,rural,rural,rural,master,master,master,master,level1,level1,level1,level1,12,14,17,19,cauc,cauc,cauc,cauc,6,6,6,6,8,8,8,8
male,afam,1980 Q2,NA,regular,NA,NA,NA,487,NA,NA,NA,477,NA,NA,NA,free,NA,NA,NA,suburban,NA,NA,NA,bachelor,NA,NA,NA,probation,NA,NA,NA,1,NA,NA,NA,afam,NA,NA,NA,22,NA,NA,NA,51,NA,NA
male,cauc,1979 Q3,small,small,small,small,472,NA,NA,NA,528,NA,NA,NA,free,free,free,non-free,urban,urban,urban,urban,bachelor,bachelor,master,bachelor,level1,level1,level1,level1,11,5,9,13,cauc,cauc,afam,cauc,26,26,26,26,59,59,59,59
male,afam,1979 Q3,NA,regular,regular,regular,NA,450,559,626,NA,481,579,612,NA,free,free,free,NA,inner-city,inner-city,inner-city,NA,bachelor,master,bachelor,NA,level1,probation,probation,NA,14,0,0,NA,cauc,afam,afam,NA,11,11,11,NA,31,33,33
female,cauc,1979 Q2,NA,NA,NA,small,NA,NA,NA,590,NA,NA,NA,604,NA,NA,NA,non-free,NA,NA,NA,rural,NA,NA,NA,bachelor,NA,NA,NA,level3,NA,NA,NA,23,NA,NA,NA,cauc,NA,NA,NA,5,NA,NA,NA,7
female,afam,1980 Q1,NA,regular+aide,regular+aide,regular+aide,NA,548,604,608,NA,515,565,588,NA,free,free,free,NA,inner-city,inner-city,inner-city,NA,bachelor,master,bachelor,NA,level1,level1,level1,NA,7,10,7,NA,cauc,cauc,cauc,NA,22,22,22,NA,53,53,53
female,afam,1980 Q1,regular+aide,regular,regular,regular,448,564,637,661,513,567,615,629,non-free,non-free,non-free,non-free,suburban,suburban,suburban,suburban,master,bachelor,bachelor,bachelor,level1,level1,notladder,level1,10,11,4,7,cauc,cauc,afam,afam,11,11,11,11,24,20,20,20
female,cauc,1980 Q3,NA,NA,regular,NA,NA,NA,614,NA,NA,NA,603,NA,NA,NA,non-free,NA,NA,NA,suburban,NA,NA,NA,specialist,NA,NA,NA,level1,NA,NA,NA,15,NA,NA,NA,cauc,NA,NA,NA,17,NA,NA,NA,41,NA
male,afam,1979 Q2,regular,NA,NA,NA,405,NA,NA,NA,478,NA,NA,NA,free,NA,NA,NA,inner-city,NA,NA,NA,bachelor,NA,NA,NA,level1,NA,NA,NA,11,NA,NA,NA,cauc,NA,NA,NA,11,NA,NA,NA,22,NA,NA,NA
male,cauc,1980 Q2,NA,regular,NA,NA,NA,590,NA,NA,NA,612,NA,NA,NA,non-free,NA,NA,NA,suburban,NA,NA,NA,bachelor,NA,NA,NA,apprentice,NA,NA,NA,3,NA,NA,NA,cauc,NA,NA,NA,22,NA,NA,NA,54,NA,NA
female,cauc,1980 Q1,small,NA,NA,NA,402,NA,NA,NA,439,NA,NA,NA,non-free,NA,NA,NA,suburban,NA,NA,NA,bachelor,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,cauc,NA,NA,NA,11,NA,NA,NA,17,NA,NA,NA
male,afam,1980 Q2,small,small,small,small,418,533,602,600,468,505,579,622,non-free,non-free,non-free,non-free,suburban,suburban,suburban,suburban,bachelor,bachelor,bachelor,bachelor,level1,level1,level1,level1,12,21,4,18,afam,cauc,cauc,afam,11,11,11,11,25,25,25,25
male,cauc,1979 Q4,NA,regular,regular,regular,NA,651,631,670,NA,592,659,667,NA,non-free,non-free,non-free,NA,rural,rural,rural,NA,bachelor,master,master,NA,level1,level1,level2,NA,17,17,12,NA,cauc,cauc,cauc,NA,41,41,41,NA,79,79,79
male,cauc,1979 Q3,NA,regular,NA,NA,NA,629,NA,NA,NA,612,NA,NA,NA,free,NA,NA,NA,rural,NA,NA,NA,master,NA,NA,NA,level1,NA,NA,NA,8,NA,NA,NA,cauc,NA,NA,NA,10,NA,NA,NA,13,NA,NA
female,afam,1979 Q4,regular+aide,regular+aide,regular,regular,NA,NA,566,629,NA,627,599,NA,free,free,free,free,inner-city,inner-city,inner-city,inner-city,bachelor,bachelor,master,bachelor,level1,level1,probation,level1,10,24,24,5,afam,afam,afam,cauc,11,11,11,11,27,27,27,27
male,afam,1980 Q2,NA,NA,regular+aide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,free,NA,NA,NA,inner-city,NA,NA,NA,bachelor,NA,NA,NA,level1,NA,NA,NA,4,NA,NA,NA,cauc,NA,NA,NA,11,NA,NA,NA,28,NA
female,cauc,1979 Q4,NA,NA,small,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,free,NA,NA,NA,rural,NA,NA,NA,bachelor,NA,NA,NA,level1,NA,NA,NA,15,NA,NA,NA,cauc,NA,NA,NA,4,NA,NA,NA,5,NA
male,afam,1980 Q3,regular,NA,NA,NA,398,NA,NA,NA,384,NA,NA,NA,free,NA,NA,NA,inner-city,NA,NA,NA,bachelor,NA,NA,NA,level1,NA,NA,NA,6,NA,NA,NA,afam,NA,NA,NA,11,NA,NA,NA,19,NA,NA,NA
female,afam,1980 Q3,regular,NA,NA,NA,503,NA,NA,NA,513,NA,NA,NA,non-free,NA,NA,NA,inner-city,NA,NA,NA,bachelor,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,afam,NA,NA,NA,11,NA,NA,NA,28,NA,NA,NA
male,afam,1981 Q4,small,small,small,small,465,441,542,578,506,500,559,606,non-free,non-free,non-free,non-free,inner-city,inner-city,inner-city,inner-city,bachelor,bachelor,master,master,level1,probation,level1,level1,3,2,8,14,afam,afam,afam,afam,11,11,11,11,28,28,28,28
female,afam,1979 Q3,NA,NA,regular,regular,NA,NA,566,587,NA,NA,533,531,NA,NA,free,NA,NA,NA,rural,rural,NA,NA,master,bachelor,NA,NA,level1,probation,NA,NA,19,0,NA,NA,cauc,cauc,NA,NA,10,10,NA,NA,13,13
female,cauc,1980 Q3,regular+aide,regular,regular,regular,421,590,599,661,473,529,579,629,non-free,non-free,non-free,non-free,suburban,suburban,suburban,suburban,bachelor,bachelor,bachelor,bachelor,level1,probation,level1,level1,3,0,8,22,cauc,cauc,cauc,cauc,25,25,25,25,58,58,58,58
male,cauc,1980 Q1,NA,NA,NA,small,NA,NA,NA,622,NA,NA,NA,678,NA,NA,NA,free,NA,NA,NA,rural,NA,NA,NA,NA,NA,NA,NA,level1,NA,NA,NA,30,NA,NA,NA,cauc,NA,NA,NA,38,NA,NA,NA,74
male,afam,1980 Q1,regular+aide,regular,regular,small,434,521,614,582,468,510,590,586,free,free,free,free,rural,rural,rural,rural,bachelor,bachelor,master,master,NA,apprentice,level1,apprentice,9,2,12,1,cauc,cauc,afam,cauc,1,1,1,1,1,1,1,1
female,cauc,1979 Q4,regular+aide,NA,NA,NA,393,NA,NA,NA,412,NA,NA,NA,free,NA,NA,NA,rural,NA,NA,NA,master,NA,NA,NA,level1,NA,NA,NA,12,NA,NA,NA,cauc,NA,NA,NA,6,NA,NA,NA,8,NA,NA,NA
male,cauc,1980 Q2,small,NA,NA,NA,419,NA,NA,NA,473,NA,NA,NA,free,NA,NA,NA,rural,NA,NA,NA,bachelor,NA,NA,NA,level1,NA,NA,NA,4,NA,NA,NA,cauc,NA,NA,NA,16,NA,NA,NA,40,NA,NA,NA
male,cauc,1979 Q4,small,small,small,small,453,512,637,654,506,553,587,655,non-free,non-free,non-free,non-free,rural,rural,rural,rural,bachelor,master,master,master,level1,level1,level3,level1,8,13,15,17,cauc,cauc,cauc,cauc,21,21,21,21,49,49,49,49
female,cauc,1979 Q3,NA,regular,regular,regular,NA,514,552,572,NA,612,579,576,NA,free,non-free,NA,NA,rural,rural,rural,NA,master,master,bachelor,NA,level1,level1,probation,NA,8,19,0,NA,cauc,cauc,cauc,NA,10,10,10,NA,13,13,13
male,afam,1978 Q3,NA,regular+aide,regular+aide,small,NA,483,538,620,NA,520,587,629,NA,free,free,free,NA,inner-city,inner-city,inner-city,NA,master,bachelor,bachelor,NA,level1,notladder,probation,NA,7,6,3,NA,cauc,cauc,afam,NA,11,11,11,NA,33,33,30
female,afam,1980 Q2,regular+aide,regular,regular,small,468,492,568,612,489,532,572,626,free,free,free,free,inner-city,inner-city,inner-city,inner-city,bachelor,master,master,bachelor,level1,level1,level1,level1,3,11,11,11,afam,cauc,cauc,cauc,11,11,11,11,15,15,15,15
male,cauc,1979 Q1,NA,NA,small,NA,NA,NA,614,NA,NA,NA,639,NA,NA,NA,non-free,NA,NA,NA,rural,NA,NA,NA,bachelor,NA,NA,NA,level1,NA,NA,NA,7,NA,NA,NA,cauc,NA,NA,NA,35,NA,NA,NA,69,NA
male,afam,1979 Q2,NA,NA,NA,small,NA,NA,NA,600,NA,NA,NA,648,NA,NA,NA,free,NA,NA,NA,inner-city,NA,NA,NA,master,NA,NA,NA,level2,NA,NA,NA,33,NA,NA,NA,afam,NA,NA,NA,11,NA,NA,NA,22
male,cauc,1979 Q4,NA,regular,regular,regular,NA,590,631,633,NA,542,607,631,NA,non-free,non-free,non-free,NA,rural,rural,rural,NA,bachelor,bachelor,master,NA,level1,level1,level1,NA,7,8,8,NA,cauc,cauc,cauc,NA,21,21,21,NA,50,50,50
female,cauc,1980 Q4,NA,regular,regular,regular,NA,478,552,577,NA,461,543,589,NA,non-free,non-free,non-free,NA,rural,rural,rural,NA,bachelor,master,master,NA,level1,level2,level3,NA,11,13,17,NA,cauc,cauc,cauc,NA,23,23,23,NA,55,55,55
female,cauc,1979 Q3,NA,regular+aide,regular+aide,regular+aide,NA,514,569,585,NA,529,574,580,NA,non-free,non-free,non-free,NA,rural,rural,rural,NA,bachelor,bachelor,bachelor,NA,probation,level1,probation,NA,0,16,1,NA,cauc,cauc,cauc,NA,40,40,40,NA,77,77,77
male,afam,1980 Q1,regular+aide,NA,NA,NA,421,NA,NA,NA,478,NA,NA,NA,free,NA,NA,NA,inner-city,NA,NA,NA,master,NA,NA,NA,level1,NA,NA,NA,11,NA,NA,NA,cauc,NA,NA,NA,11,NA,NA,NA,18,NA,NA,NA
female,afam,1980 Q2,regular,NA,regular,regular,451,NA,NA,620,528,NA,NA,631,non-free,NA,non-free,non-free,inner-city,NA,inner-city,inner-city,bachelor,NA,NA,bachelor,NA,NA,NA,probation,9,NA,NA,0,afam,NA,NA,cauc,11,NA,11,11,28,NA,28,28
female,afam,1980 Q1,NA,NA,NA,regular,NA,NA,NA,555,NA,NA,NA,559,NA,NA,NA,free,NA,NA,NA,suburban,NA,NA,NA,bachelor,NA,NA,NA,apprentice,NA,NA,NA,4,NA,NA,NA,cauc,NA,NA,NA,11,NA,NA,NA,21
male,cauc,1980 Q3,regular,small,small,small,442,544,555,602,513,545,584,636,non-free,non-free,non-free,non-free,rural,rural,rural,rural,bachelor,master,master,master,level1,level1,level1,level2,13,11,14,10,NA,cauc,cauc,cauc,23,23,23,23,55,55,55,55
male,afam,1979 Q3,NA,regular,regular,NA,NA,472,NA,NA,NA,515,NA,NA,NA,free,free,NA,NA,inner-city,inner-city,NA,NA,master,master,NA,NA,level1,probation,NA,NA,32,0,NA,NA,afam,afam,NA,NA,11,11,NA,NA,33,33,NA
female,cauc,1980 Q1,small,small,small,small,472,509,571,588,506,592,659,645,non-free,non-free,free,free,urban,urban,urban,urban,bachelor,bachelor,master,bachelor,level1,level1,apprentice,level1,13,20,23,9,cauc,cauc,cauc,cauc,6,6,6,6,9,9,9,9
male,cauc,1979 Q4,regular,regular+aide,regular+aide,regular+aide,480,629,684,680,536,578,639,645,non-free,non-free,NA,non-free,urban,urban,urban,urban,master,bachelor,bachelor,bachelor,level1,notladder,level1,notladder,4,0,12,31,cauc,cauc,cauc,cauc,20,20,20,20,48,48,48,48
male,afam,1980 Q1,small,small,small,small,468,524,622,622,500,567,620,636,free,free,free,free,inner-city,inner-city,inner-city,inner-city,bachelor,bachelor,master,master,level1,apprentice,level1,notladder,5,2,13,31,cauc,afam,afam,cauc,11,11,11,11,29,29,29,29
male,afam,1979 Q4,regular,regular+aide,regular+aide,regular+aide,478,530,622,614,484,490,570,614,free,free,free,free,rural,rural,rural,rural,bachelor,master,bachelor,master,level1,level1,level1,level2,11,11,7,17,cauc,afam,cauc,cauc,21,21,21,21,49,49,49,49
